К1|масштаб об’єкту автоматизації  
Автоматизація бізнес-процесу одного структурного підрозділу|1  
Автоматизація бізнес-процесів одного відомства|8  
Автоматизація бізнес-процесів одного відомства з територіальними підрозділами|9  
Автоматизація бізнес-процесів відомства і інтеграція з зовнішніми інформаційними системами|10  
Автоматизація бізнес-процесів декількох відомств|12  
Автоматизація бізнес-процесів декількох відомств і інтеграція з зовнішніми інформаційними системами|13  

К2|тип замовника  
Місцевий виконавчий орган|8  
Центральний державний орган|14  
Державний орган, діяльність якого пов’язана з небезпекою для життя|15  

К3|тип програмного забезпечення  
Готове програмне забезпечення, яке потребує налаштування|1  
База даних|6  
Клієнт-серверне (товстий клієнт)|8  
Клієнт-серверне (тонкий клієнт)|11  
Сервіс-орієнтоване|15  
