Z1|Згуртованість персоналу
Низький рівень (плинність персоналу 20%)|1,20
Середній рівень (плинність персоналу 12%)|1,00
Високий рівень (плинність персоналу 9%)|0,83

Z2|Надійність і складність прикладного програмного забезпечення
Низький рівень (Незначна, розмір бази даних маленький)|0,83
Середній рівень (Середня, розмір бази даних середній)|1,00
Високий рівень (Складна, розмір бази даних великий)|1,33

Z3|Складність платформи
Низький рівень (Стабільна платформа. Обмеження по часу виконання і на оперативну пам'ять ≤ 50%)|0,87
Середній рівень (Незначна стабільність платформи. Обмеження по часу виконання і на оперативну пам'ять 65%)|1,00
Високий рівень (Мінливість платформи. Обмеження по часу виконання і на оперативну пам'ять 80%)|1,29

Z4|Необхідний рівень повторного використання
Низький рівень|0,95
Середній рівень (Багаторазове використання модулів в одному проекті)|1,00
Високий рівень (Прикладне програмне забезпечення може використатися в різних проектах однієї організації)|1,07

Z5|Досвідченість персоналу
Низький рівень (6 місяців)|1,22
Середній рівень (1 рік)|1,00
Високий рівень (3 роки)|0,87

Z6|Використання інструментів
Низький рівень (набір слабко інтегрованих інструментів розробки програмного забезпечення)|1,10
Середній рівень (набір середньо інтегрованих інструментів для автоматизації основних процесів розробки програмного забезпечення)|1,00
Високий рівень (набір сильно інтегрованих інструментів для автоматизації основних процесів розробки програмного забезпечення)|0,87

Z7|Щільність графіка проекту
Низький рівень (ущільнення графіка 85%)|1,14
Середній рівень (ущільнення графіка 100%)|1,00
Високий рівень (ущільнення графіка 130%)|1,00
